Original Data
Latitude; Longitude; Code; Altitude (Feet); Date; Date (Standard); Time
26.162202; 119.943787; 1; 492; 39918.5722222222; 2009-04-15; 13:44:00
26.161528; 119.943234; 0; 492; 39918.5722800926; 2009-04-15; 13:44:05
26.1619; 119.943228; 0; 492; 39918.572337963; 2009-04-15; 13:44:10
26.161775; 119.943276; 0; 492; 39918.5723958333; 2009-04-15; 13:44:15
26.161667; 119.943281; 0; 492; 39918.5724537037; 2009-04-15; 13:44:20
26.16167; 119.943128; 0; 492; 39918.5725115741; 2009-04-15; 13:44:25
26.161566; 119.942352; 0; 204; 39918.5725694444; 2009-04-15; 13:44:30
26.161558; 119.942401; 0; 193; 39918.5726273148; 2009-04-15; 13:44:35
26.161482; 119.942477; 0; 185; 39918.5726851852; 2009-04-15; 13:44:40
26.161461; 119.942491; 0; 184; 39918.5727430556; 2009-04-15; 13:44:45
26.16143; 119.94253; 0; 182; 39918.5728009259; 2009-04-15; 13:44:50
26.161413; 119.942552; 0; 178; 39918.5728587963; 2009-04-15; 13:44:55
26.161411; 119.942557; 0; 179; 39918.5729166667; 2009-04-15; 13:45:00
26.161408; 119.942562; 0; 178; 39918.572974537; 2009-04-15; 13:45:05
26.161405; 119.942565; 0; 178; 39918.5730324074; 2009-04-15; 13:45:10
26.161404; 119.94257; 0; 178; 39918.5730902778; 2009-04-15; 13:45:15
26.161403; 119.942574; 0; 178; 39918.5731481481; 2009-04-15; 13:45:20
26.161401; 119.942577; 0; 178; 39918.5732060185; 2009-04-15; 13:45:25
26.1614; 119.942578; 0; 178; 39918.5732638889; 2009-04-15; 13:45:30
26.161399; 119.942579; 0; 177; 39918.5733217593; 2009-04-15; 13:45:35
26.161398; 119.942579; 0; 177; 39918.5733796296; 2009-04-15; 13:45:40
26.161397; 119.94258; 0; 177; 39918.5734375; 2009-04-15; 13:45:45
26.161396; 119.94258; 0; 177; 39918.5734953704; 2009-04-15; 13:45:50
26.161396; 119.942581; 0; 177; 39918.5735532407; 2009-04-15; 13:45:55
26.161395; 119.942582; 0; 177; 39918.5736111111; 2009-04-15; 13:46:00
26.161395; 119.942582; 0; 177; 39918.5736689815; 2009-04-15; 13:46:05
26.161394; 119.942582; 0; 176; 39918.5737268519; 2009-04-15; 13:46:10
26.161393; 119.942582; 0; 176; 39918.5737847222; 2009-04-15; 13:46:15
26.161392; 119.942583; 0; 176; 39918.5738425926; 2009-04-15; 13:46:20
26.161348; 119.942583; 0; 164; 39918.573900463; 2009-04-15; 13:46:25
26.161308; 119.942596; 0; 151; 39918.5739583333; 2009-04-15; 13:46:30
26.161282; 119.942612; 0; 144; 39918.5740162037; 2009-04-15; 13:46:35
26.161264; 119.942627; 0; 138; 39918.5740740741; 2009-04-15; 13:46:40
26.161251; 119.942641; 0; 133; 39918.5741319444; 2009-04-15; 13:46:45
26.161242; 119.942643; 0; 130; 39918.5741898148; 2009-04-15; 13:46:50
26.161243; 119.942655; 0; 126; 39918.5742476852; 2009-04-15; 13:46:55
26.161244; 119.942671; 0; 122; 39918.5743055556; 2009-04-15; 13:47:00
26.16125; 119.942671; 0; 117; 39918.5743634259; 2009-04-15; 13:47:05
26.161248; 119.942671; 0; 115; 39918.5744212963; 2009-04-15; 13:47:10
26.161247; 119.942671; 0; 115; 39918.5744791667; 2009-04-15; 13:47:15
26.161247; 119.942671; 0; 115; 39918.574537037; 2009-04-15; 13:47:20
26.161247; 119.942671; 0; 115; 39918.5745949074; 2009-04-15; 13:47:25
26.161247; 119.942671; 0; 114; 39918.5746527778; 2009-04-15; 13:47:30
26.161248; 119.94267; 0; 114; 39918.5747106482; 2009-04-15; 13:47:35
26.161247; 119.94267; 0; 114; 39918.5747685185; 2009-04-15; 13:47:40
26.161247; 119.94267; 0; 114; 39918.5748263889; 2009-04-15; 13:47:45
26.161247; 119.942669; 0; 113; 39918.5748842593; 2009-04-15; 13:47:50
26.161247; 119.942669; 0; 113; 39918.5749421296; 2009-04-15; 13:47:55
26.161247; 119.942668; 0; 113; 39918.575; 2009-04-15; 13:48:00
26.161246; 119.942668; 0; 113; 39918.5750578704; 2009-04-15; 13:48:05
26.161246; 119.942668; 0; 113; 39918.5751157407; 2009-04-15; 13:48:10
26.161246; 119.942668; 0; 113; 39918.5751736111; 2009-04-15; 13:48:15
26.161246; 119.942668; 0; 113; 39918.5752314815; 2009-04-15; 13:48:20
26.161245; 119.942668; 0; 113; 39918.5752893519; 2009-04-15; 13:48:25
26.161245; 119.942668; 0; 112; 39918.5753472222; 2009-04-15; 13:48:30
26.161245; 119.942668; 0; 112; 39918.5754050926; 2009-04-15; 13:48:35
26.161245; 119.942667; 0; 112; 39918.575462963; 2009-04-15; 13:48:40
26.161245; 119.942666; 0; 112; 39918.5755208333; 2009-04-15; 13:48:45
26.161244; 119.942666; 0; 112; 39918.5755787037; 2009-04-15; 13:48:50
26.161244; 119.942666; 0; 112; 39918.5756365741; 2009-04-15; 13:48:55
26.161244; 119.942665; 0; 111; 39918.5756944444; 2009-04-15; 13:49:00
26.161244; 119.942665; 0; 111; 39918.5757523148; 2009-04-15; 13:49:05
26.161244; 119.942665; 0; 111; 39918.5758101852; 2009-04-15; 13:49:10
26.161244; 119.942664; 0; 111; 39918.5758680556; 2009-04-15; 13:49:15
26.161243; 119.942664; 0; 110; 39918.5759259259; 2009-04-15; 13:49:20
26.161243; 119.942664; 0; 110; 39918.5759837963; 2009-04-15; 13:49:25
26.161243; 119.942664; 0; 110; 39918.5760416667; 2009-04-15; 13:49:30
26.161243; 119.942664; 0; 110; 39918.576099537; 2009-04-15; 13:49:35
26.161243; 119.942664; 0; 110; 39918.5761574074; 2009-04-15; 13:49:40
26.161243; 119.942663; 0; 109; 39918.5762152778; 2009-04-15; 13:49:45
26.161242; 119.942663; 0; 109; 39918.5762731481; 2009-04-15; 13:49:50
26.161242; 119.942663; 0; 109; 39918.5763310185; 2009-04-15; 13:49:55
26.161242; 119.942663; 0; 109; 39918.5763888889; 2009-04-15; 13:50:00
26.161242; 119.942662; 0; 108; 39918.5764467593; 2009-04-15; 13:50:05
26.161242; 119.942662; 0; 108; 39918.5765046296; 2009-04-15; 13:50:10
26.161241; 119.942662; 0; 108; 39918.5765625; 2009-04-15; 13:50:15
26.161241; 119.942662; 0; 108; 39918.5766203704; 2009-04-15; 13:50:20
26.161241; 119.942662; 0; 108; 39918.5766782407; 2009-04-15; 13:50:25
26.161241; 119.942662; 0; 107; 39918.5767361111; 2009-04-15; 13:50:30
26.16124; 119.942662; 0; 107; 39918.5767939815; 2009-04-15; 13:50:35
26.16124; 119.942661; 0; 107; 39918.5768518519; 2009-04-15; 13:50:40
